ID_STG_FNT_ITT,NUM_CNPJ,Cnpj Invalido,Nome Comercial,Razao Social
621,13715406217,137154062172380,NMN,NMN
624,21418958138,214189581383230,NMN,NMN
657,,,NMN,NMN
658,,,NMN,NMN
736,,,NMN,NMN
751,21919783,219197832295,NMN,NMN
769,,,NMN,NMN
775,15586599141,155865991412210,NMN,NMN
781,19372177773,193721777731921,NMN,NMN
783,822515386,8225153863043,NMN,NMN
798,,,NMN,NMN
824,23850463973,238504639732380,NMN,NMN
828,,,NMN,NMN
848,25389576534,253895765342414,NMN,NMN
885,,,NMN,NMN
901,26007254789,260072547892992,NMN,NMN
913,23613212024,236132120243128,NMN,NMN
914,21625522911,216255229112465,,
954,,,NMN,NMN
964,892219007,8922190073026,NMN,NMN
992,,,NMN,NMN
999,,,NMN,NMN
1015,,,NMN,NMN
17,25077909975,250779099752210,,
21,15961734724,159617347242040,,
65,20527053274,205270532742278,,
91,20241050493,202410504932499,NMN,NMN
93,332692754,3326927542414,NMN,NMN
113,17765603364,17765603364112506,NMN,NMN
166,,,NMN,NMN
174,,,NMN,NMN
182,170270419,1702704191802,NMN,NMN
237,,,NMN,NMN
240,,,NMN,NMN
245,348457704,3484577042873,NMN,NMN
252,23412377254,234123772542006,NMN,NMN
276,22784780519,227847805193230,NMN,NMN
283,23397335382,233973353823281,NMN,NMN
287,200678421,2006784211904,NMN,NMN
290,489117472,4891174723162,NMN,NMN
298,251339543,2513395431768,NMN,NMN
301,465100705,4651007051700,NMN,NMN
302,20587546176,205875461762652,NMN,NMN
313,19800184172,198001841721819,NMN,NMN
316,20640264400,206402644002329,NMN,NMN
338,18851254406,188512544062057,NMN,NMN
344,20563579984,205635799841700,NMN,NMN
346,397142644,3971426442499,NMN,NMN
350,,,NMN,NMN
358,,,NMN,NMN
366,19391006701,193910067012822,NMN,NMN
427,20585567682,205855676823196,NMN,NMN
431,291863412,2918634122193,NMN,NMN
480,847252052,8472520523196,NMN,NMN
508,,,NMN,NMN
512,,,NMN,NMN
